Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
v2x-ros-driver,12,9,10,4,1,3,1,1,100%,1,100%,0%,271,124,61,63,3,4,25,13,12,0,0,0,0,0,6,6,0,0,4,0,4,4,0,0
carma-web-ui,4,10,4,6,2,4,0,0,N/A,0,N/A,33%,65,160,112,48,0,4,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-esr-driver,5,9,2,2,0,2,1,1,100%,1,100%,0%,2,61,36,25,0,3,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-srr2-driver,0,9,0,1,0,1,0,0,N/A,0,N/A,0%,2,64,32,32,1,3,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avt_vimba_camera,3,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,101,44,57,0,6,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-vehicle-model-framework,6,10,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,66,36,30,0,3,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novatel_gps_driver,1,5,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,110,39,71,0,3,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-velodyne-lidar-driver,0,9,2,2,0,2,0,0,N/A,0,N/A,50%,0,115,55,60,0,3,19,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.ai,5,7,13,2,1,1,2,2,100%,2,100%,N/A,N/A,269,126,143,2,3,25,12,13,0,0,0,0,0,2,2,0,0,1,0,1,1,0,0
carma-ssc-interface-wrapper,2,15,7,7,3,4,2,2,100%,2,100%,20%,12,155,62,93,3,3,20,9,11,0,0,0,0,0,3,3,0,0,2,0,1,1,0,0
carma-base,1,15,6,8,0,8,0,0,N/A,0,N/A,38%,9,220,97,123,1,2,27,13,14,0,0,0,0,0,2,2,0,0,1,2,1,1,0,0
carma-config,4,13,11,9,3,6,2,2,100%,2,100%,29%,10,415,290,125,6,3,32,18,14,0,0,0,0,0,17,17,0,0,15,1,7,7,0,0
carma-garmin-lidar-lite-v3-driver-wrapper,1,9,2,1,0,1,0,0,N/A,0,N/A,0%,0,86,41,45,0,5,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-messenger,14,11,11,18,16,2,6,6,100%,5,83%,17%,17,241,170,68,2,5,28,14,14,1,1,0,0,0,8,7,1,0,6,0,4,3,1,0
carma-1-tenth,12,12,6,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opendrive2lanelet,30,4,9,0,0,0,0,0,N/A,0,N/A,N/A,N/A,24,15,9,2,5,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-lightbar-driver,2,10,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,78,49,29,1,4,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-rtk,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-simulation,0,2,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdasim,41,16,14,25,12,13,15,15,100%,15,100%,50%,22,217,155,62,5,11,27,13,14,0,0,0,0,0,7,7,0,0,6,1,4,4,0,0
ads-traffic-regs,3,13,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cav-education,3,9,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,17,4,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-analytics-fotda,3,11,3,3,3,0,2,2,100%,2,100%,0%,9,98,73,25,2,4,15,11,4,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
carma-validation,0,8,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-streets,10,7,10,173,169,4,48,48,100%,48,100%,2%,78,256,239,16,1,5,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosaic,0,2,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sumo,0,2,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_vesc_driver,0,6,0,2,0,2,0,0,N/A,0,N/A,0%,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_razor_imu_m0_driver,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_rplidar_driver,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_zed_driver,0,6,0,1,0,1,0,0,N/A,0,N/A,0%,3,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arena_camera_ros,0,1,0,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-mobileye-driver,0,6,0,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.auto,3,7,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,33,23,10,0,4,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tim-bc,0,6,0,2,2,0,0,0,N/A,0,N/A,0%,93,23,19,4,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-novatel-oem7-driver-wrapper,1,7,0,2,2,0,1,1,100%,1,100%,100%,0,33,27,6,0,4,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voices-cda-use-case-scenario-database,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voices-poc,0,9,1,1,1,0,0,0,N/A,0,N/A,0%,0,25,21,4,1,25,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ros1_bridge,1,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,30,19,11,2,106,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
testing-training-tools,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cda-telematics,1,6,1,88,80,8,16,16,100%,16,100%,1%,45,177,147,22,1,3,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-carla-integration,2,11,2,18,13,5,9,9,100%,9,100%,67%,29,59,45,14,1,6,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github_metrics,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,17,5,12,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-message-filters,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,5,4,1,0,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosbridge_suite,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2c-ri,0,2,2,14,10,4,0,0,N/A,0,N/A,0%,15,27,25,2,0,3,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devops,1,6,2,489,369,120,18,18,100%,0,0%,1%,181,12,9,3,1,18,8,4,4,31,31,0,0,418,1,1,0,0,1,0,1,1,0,0
documentation,0,4,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dwm1001_ros2,1,4,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t-tools,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multiple_object_tracking,12,7,4,81,0,81,6,6,100%,6,100%,77%,12,73,15,58,0,5,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v2x-emulator,1,6,1,2,1,1,2,2,100%,2,100%,N/A,N/A,13,13,0,1,4,7,6,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
carma-builds,0,7,1,2,0,2,2,2,100%,2,100%,N/A,N/A,39,19,20,1,3,6,3,3,0,0,0,0,0,3,3,0,0,3,0,1,1,0,0
.github,0,8,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stol-j2735,0,3,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,13,8,5,0,3,5,4,1,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0
snmp-client,3,8,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,12,1,11,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actions,0,8,0,4,3,1,4,4,100%,4,100%,N/A,N/A,57,35,22,6,1,8,5,3,0,0,0,0,0,9,9,0,0,7,1,3,3,0,0
carma-time-lib,1,7,3,4,4,0,1,1,100%,1,100%,0%,64,29,21,8,0,4,3,2,1,0,0,0,0,0,3,3,0,0,3,0,1,1,0,0
cavams,0,8,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-ns3-adapter,0,6,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,29,28,1,1,13,8,7,1,0,0,0,0,0,4,4,0,0,3,0,2,2,0,0
voices-common-interface,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosbag2,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,3,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novatel_oem7_driver,0,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ns3-federate,0,6,0,1,1,0,1,1,100%,1,100%,N/A,N/A,10,10,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ns-3_c-v2x,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,4,4,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-geodetic-lib,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ros2_tracing,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracetools_analysis,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-slamtec-lidar-driver,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma_ament_lint,0,1,0,4,0,4,0,0,N/A,0,N/A,100%,0,4,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scenario-runner,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,8,8,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-sensor-lib,0,6,1,7,3,4,5,5,100%,5,100%,0%,109,13,12,1,0,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cave-lite,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,4,4,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j2735decoder,4,6,1,1,0,1,1,1,100%,1,100%,N/A,N/A,1,0,1,1,N/A,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vesc,1,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,2,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stol-scratchpad,0,4,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cda1tenth-bringup,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,51,46,5,3,4,6,5,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
connectedvcs-tools,0,6,4,2,2,0,2,2,100%,2,100%,N/A,N/A,80,80,0,1,2,8,8,0,0,0,0,0,0,4,4,0,0,3,0,3,3,0,0
navigation2,0,1,0,1,1,0,0,0,N/A,0,N/A,100%,0,4,2,2,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usdot-asn1c,2,2,1,2,0,2,2,1,50%,1,50%,N/A,N/A,0,0,0,0,N/A,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navigation2-extensions,7,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,20,2,0,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twist_to_ackermann,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robot_localization,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,1,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To-21-426-multivariate-piecewise-linear-ACC-car-following-model,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,652,661,318,2176,1340,836,433,429,99%,410,95%,14%,107,5753,3500,2235,71,5,98,32,66,34,34,0,0,419,99,97,2,0,74,7,13,12,1,0
